Customer_ID,Name,Age,Gender,Country,State,City,Email,Signup_Date,Account_Status,Product_ID,Product_Name,Category,Price,Discount,Quantity,Purchase_Date,Delivery_Date,Payment_Type,Feedback_Score,Comments,Customer_Loyalty,Last_Login,Signup_Channel,Total_Purchase,Delivery_Duration,Age_Group,Gender_Code
3947,shelly bailey,109,male,bahamas,georgia,north michaelbury,ashleyshelton@hotmail.com,2025-06-19,active,212,parent,misc,581.34,28.71,5,2025-09-11,2025-09-20,up,4.7,sure if everything fly the wonder.,vip,2025-05-27,web,2906.7000000000003,9,senior,1
8892,sara rodriguez,78,female,libyan arab jamahiriya,ohio,new gerald,amorgan@hotmail.com,2020-07-08,inactive,217,policy,clothing,928.27,0.52,2,2025-05-14,2025-06-13,crdit,5.0,join style none stock put instead pressure student.,vip,2025-04-24,phone,1856.54,30,senior,2
2201,claire williams,38,female,niue,rhode island,perezfurt,epetersen@yahoo.com,2023-11-04,active,399,order,electronics,518.33,9.05,16,2025-01-02,2025-03-04,up,1.6,well service body sense contain not some.,,2025-07-25,app,8293.28,61,adult,2
6505,olivia riley,103,female,afghanistan,wyoming,robertshaven,pcook@morgan.com,2021-06-12,banned,435,whom,misc,836.91,-6.57,11,2025-05-20,2025-10-07,cash,1.7,,new,2025-05-25,app,9206.01,140,senior,2
8075,john greer,12,female,philippines,illinois,new nicholastown,sarahdyer@matthews-li.com,2021-06-22,inactive,163,discover,electronics,660.04,3.87,11,2025-04-07,2025-08-12,up,2.7,art current should off include support give.,returning,2025-04-07,app,7260.44,127,child,2
7079,katie chavez,17,female,serbia,arizona,codybury,csmith@yahoo.com,2020-05-24,banned,333,recent,electronics,335.75,47.93,1,2025-02-20,2025-03-11,cash,3.2,walk the police remember physical at education.,vip,2025-03-25,phone,335.75,19,teen,2
1139,danielle perez,88,female,venezuela,colorado,kellyshire,watkinsbenjamin@hotmail.com,2023-09-04,banned,464,purpose,misc,417.7,47.58,16,2025-01-13,2025-09-25,cash,2.9,beat everybody future member father free yet.,,,web,6683.2,255,senior,2
9347,james peterson,109,female,kenya,rhode island,port davidshire,vrice@gmail.com,2025-03-31,inactive,481,misc,electronics,898.54,-7.74,2,2025-07-18,2025-07-30,debit,1.4,,new,2025-08-17,app,1797.08,12,senior,2
6005,nicole dougherty,71,other,spain,oklahoma,meyerhaven,michaelpayne@melton.com,2022-03-04,banned,45,sign,electronics,333.92,14.78,7,2025-09-06,2025-10-08,credit,2.4,accept hold outside ball.,,2025-06-29,app,2337.44,32,senior,3
3340,anthony jacobs,7,female,french polynesia,pennsylvania,west amy,reedjared@hotmail.com,2022-05-18,,97,concern,clothing,495.74,2.05,15,2025-08-28,2025-09-01,credit,4.1,,vip,2025-06-06,app,7436.1,4,child,2
5166,unknown,18,male,burkina faso,tennessee,south logan,tannermichelle@hotmail.com,2025-06-09,banned,104,such,clothing,402.98,-7.67,1,2025-06-06,2025-08-26,credit,1.6,kitchen method five so minute method me.,returning,2025-01-31,phone,402.98,81,teen,1
2361,douglas noble,80,female,turks and caicos islands,colorado,west glen,tlopez@rivera-garcia.info,2021-08-01,,213,production,misc,495.29,0.98,15,2025-01-07,2025-01-22,up,4.0,other network many nor country.,vip,2025-07-08,app,7429.35,15,senior,2
3471,frederick pierce,108,female,australia,pennsylvania,denisefurt,ocooke@yahoo.com,2024-03-25,banned,80,our,electronics,319.65,-3.43,8,2025-03-13,2025-03-27,upi,4.7,sort draw hot threat such republican society occur.,,2025-07-22,app,2557.2,14,senior,2
454,meghan bowen,44,female,norfolk island,california,yolandabury,dgaines@gmail.com,2023-02-05,banned,486,senior,misc,481.51,42.25,15,2025-01-01,2025-08-17,up,3.7,,,2025-08-20,app,7222.65,228,adult,2
2027,richard harris,35,female,india,wyoming,north ericshire,lisa42@yahoo.com,2025-08-11,inactive,295,source,clothing,242.79,41.53,11,2025-05-25,2025-07-22,upi,4.2,different explain something though know ball receive.,new,2025-02-04,app,2670.69,58,adult,2
764,william wang,71,female,samoa,massachusetts,south tammy,michelle74@yahoo.com,2023-03-11,active,345,break,misc,926.22,,20,2025-04-07,2025-08-29,up,4.4,,,2025-04-14,web,18524.4,144,senior,2
7276,michael stafford,83,female,nicaragua,alabama,judyborough,cfisher@mason.com,2021-09-02,inactive,417,need,clothing,819.65,21.55,3,2025-05-14,2025-05-26,debit,3.2,look explain box employee shake.,,2025-09-02,web,2458.95,12,senior,2
8011,sharon garcia,60,male,guernsey,georgia,ambermouth,theresapowers@bishop.info,2020-09-23,active,395,safe,misc,37.62,,2,2025-04-13,2025-06-30,cash,4.1,,new,2025-05-14,phone,75.24,78,senior,1
8767,cynthia gonzales,97,male,jordan,new york,robinsonview,crystalsmith@white.com,2022-09-07,,283,audience,misc,332.81,23.35,4,2025-05-10,2025-06-16,upi,3.0,senior see white build.,returning,2025-05-31,phone,1331.24,37,senior,1
5574,cynthia cunningham,78,male,saint lucia,new york,mayberg,john50@allen-cain.net,2022-05-07,banned,191,cut,electronics,177.51,-5.81,10,2025-06-12,2025-07-01,upi,4.6,,vip,,app,1775.1,19,senior,1
6377,jerry parker,95,male,burundi,hawaii,kellyberg,danielwilliamson@gmail.com,2025-03-09,inactive,421,concern,clothing,626.48,28.44,6,2025-04-08,2025-06-04,up,1.9,ok house cultural either.,new,2025-08-12,app,3758.88,57,senior,1
8166,wendy morris,75,male,denmark,iowa,new bradley,denise04@bryant.com,2020-11-18,inactive,170,mean,misc,313.62,19.8,3,2025-04-21,2025-05-25,credit,4.6,,,2025-01-24,web,940.86,34,senior,1
6846,abigail lewis,87,male,falkland islands (malvinas),north dakota,south misty,nancy70@gmail.com,2022-09-06,inactive,279,sure,misc,430.49,5.33,20,2025-02-02,2025-09-21,upi,1.6,method middle risk poor list particularly.,new,2025-06-30,app,8609.8,231,senior,1
580,hayley martinez,65,male,united arab emirates,nevada,gonzalezmouth,george57@reed-park.info,2021-02-03,active,275,child,electronics,573.05,9.1,11,2025-04-09,2025-06-10,credit,3.4,,,2025-03-16,app,6303.549999999999,62,senior,1
7986,gregory caldwell,41,female,ethiopia,maine,durhamport,maria61@yahoo.com,2025-02-06,active,36,other,misc,338.2,-9.04,15,2025-08-21,2025-09-15,upi,2.8,risk focus member this.,vip,2025-08-31,web,5073.0,25,adult,2
9044,kevin douglas,72,female,japan,massachusetts,north jamiehaven,thomas97@lane-gutierrez.com,2021-12-13,active,172,charge,electronics,250.38,21.47,4,2025-02-01,2025-03-31,upi,3.2,either modern anyone question.,vip,2025-06-12,web,1001.52,58,senior,2
7644,kayla west,95,female,luxembourg,arizona,south juan,westjoshua@crawford.org,2025-06-01,banned,362,party,misc,300.84,15.72,18,2025-06-04,2025-07-20,debit,2.1,century watch physical sea affect four chair.,vip,2025-08-31,phone,5415.12,46,senior,2
5237,angela hancock,93,male,taiwan,florida,east janiceburgh,michael14@yahoo.com,2020-12-29,,21,above,misc,614.89,17.73,7,2025-01-17,2025-03-12,upi,3.7,key teacher his young concern various.,,,web,4304.23,54,senior,1
4330,ralph long,38,other,lesotho,idaho,south alyssa,leemichelle@morgan.com,2022-12-25,,456,misc,misc,903.75,-5.16,4,2025-03-22,2025-07-20,debit,3.1,whatever offer rich parent paper energy.,returning,2025-05-05,web,3615.0,120,adult,3
2230,carol lyons,2,female,somalia,california,butlershire,jacksonmatthew@yahoo.com,2021-03-14,inactive,165,training,electronics,326.12,22.1,1,2025-03-03,2025-07-19,cash,2.0,,returning,2025-05-31,app,326.12,138,child,2
6126,anthony patterson,89,female,mozambique,new mexico,penaside,morrisjonathan@schultz.biz,2020-10-05,inactive,218,goal,misc,617.61,42.49,9,2025-05-31,2025-09-09,upi,3.5,discussion family leg few computer decision pretty must.,,2025-01-09,app,5558.49,101,senior,2
4899,renee campbell,53,female,nepal,nevada,new joshua,hubbardjill@williams.info,2022-02-08,banned,462,you,clothing,864.91,25.09,11,2025-02-06,2025-03-20,crdit,1.3,eight miss customer say audience those.,vip,2025-09-25,web,9514.01,42,adult,2
7892,unknown,25,male,bolivia,idaho,west michael,jennifer19@hart-peterson.org,2023-01-11,banned,51,whole,electronics,307.24,23.47,20,2025-03-29,2025-10-11,debit,4.7,federal professor player attention end.,vip,,app,6144.8,196,adult,1
1492,matthew schultz,27,male,switzerland,florida,nathanberg,johnsonchristine@gmail.com,2022-09-01,,378,lawyer,clothing,531.54,20.44,12,2025-08-25,2025-09-17,credit,4.1,public box treat important soldier others start.,returning,2025-05-27,app,6378.48,23,adult,1
4836,timothy rodriguez,17,male,gibraltar,rhode island,blakebury,davidwilcox@hotmail.com,2022-08-02,inactive,107,kid,misc,995.39,6.78,5,2025-07-11,2025-07-27,upi,3.6,recognize concern effort policy production.,returning,2025-09-23,web,4976.95,16,teen,1
706,allison jones,70,male,sierra leone,maryland,tinachester,sandra22@yahoo.com,2022-03-15,active,262,mouth,electronics,812.27,44.74,6,2025-05-12,2025-08-03,up,2.5,enough church hospital heart professional almost exist.,vip,2025-08-19,web,4873.62,83,senior,1
3214,jennifer taylor,74,male,armenia,illinois,carolynland,karen83@castro-jackson.com,2020-06-30,,245,misc,misc,734.2,25.85,6,2025-07-30,2025-09-25,cash,3.3,source partner in development.,new,2025-10-06,app,4405.200000000001,57,senior,1
6877,stephanie cummings,10,female,nicaragua,oregon,kelseyview,vincentpayne@barrett.com,2021-03-01,banned,325,defense,misc,778.42,47.11,18,2025-02-06,2025-05-20,cash,2.7,usually air record simply style civil stock.,vip,2025-08-08,phone,14011.56,103,child,2
6097,susan phillips,89,female,nigeria,,east chloe,lynncox@heath-shepherd.com,2021-07-10,,377,cold,misc,235.6,8.42,16,2025-03-18,2025-07-03,upi,3.1,should sign church eye relationship.,vip,2025-02-04,web,3769.6,107,senior,2
7806,ernest kirby,71,other,hong kong,south dakota,west janetburgh,lcosta@yahoo.com,2020-07-23,banned,252,safe,misc,553.87,,18,2025-04-08,2025-06-22,credit,4.7,,new,2025-06-03,web,9969.66,75,senior,3
4589,katie ross,104,male,malawi,hawaii,kellyhaven,gjones@hotmail.com,2022-07-15,,439,course,clothing,275.23,34.0,12,2025-09-10,2025-10-05,debit,3.5,,,2025-01-31,app,3302.76,25,senior,1
3779,morgan dunlap,70,female,germany,kansas,josephfort,mariaporter@moore.net,2024-05-01,inactive,8,great,clothing,93.4,8.41,19,2025-03-05,2025-07-29,credit,3.1,world him ball song sit candidate fight.,,2025-03-31,web,1774.6000000000001,146,senior,2
7700,stacey jones,112,female,nigeria,georgia,lopezborough,tthompson@gmail.com,2020-09-22,,75,decade,misc,163.96,4.32,15,2025-02-01,2025-10-06,crdit,1.6,cold physical camera people.,new,2025-04-26,phone,2459.4,247,senior,2
1692,nicole kirk,63,other,nauru,missouri,port marcus,strongkatherine@gmail.com,2024-04-27,,483,scientist,misc,213.64,44.23,19,2025-05-28,2025-09-01,cash,1.0,wind reflect school available visit.,returning,2025-04-14,app,4059.16,96,senior,3
4617,amanda christensen,48,female,thailand,washington,collinsstad,patriciahernandez@jordan.com,2022-04-27,inactive,144,even,misc,408.48,26.09,10,2025-04-02,2025-07-15,up,1.7,heavy large model station feeling area thought performance.,returning,2025-03-06,web,4084.8,104,adult,2
6669,richard lee,89,other,tajikistan,wisconsin,johnsonburgh,michelle54@hotmail.com,2023-05-22,inactive,474,spring,misc,438.83,27.73,18,2025-03-14,2025-10-07,debit,3.1,tell open east admit fall.,,2025-02-03,web,7898.94,207,senior,3
8320,patrick martinez,22,male,niue,michigan,powellmouth,nancymitchell@bradley.com,2025-05-16,inactive,209,forward,misc,339.12,,13,2025-01-07,2025-06-13,cash,4.9,run industry doctor law seem beyond.,,2025-02-13,web,4408.56,157,adult,1
611,mark orozco,46,male,costa rica,,aliciatown,wpacheco@miller-young.biz,2021-04-15,,10,compare,electronics,24.89,-2.21,8,2025-08-26,2025-10-01,up,1.4,write realize if computer student.,,2025-09-12,web,199.12,36,adult,1
971,kyle black,103,female,georgia,new york,johnburgh,jennifer95@nunez.org,2025-03-16,inactive,404,respond,misc,259.21,32.11,18,2025-05-13,2025-06-09,crdit,3.1,,new,2025-08-27,app,4665.78,27,senior,2
8660,jeffery stark,35,male,saint martin,maryland,charlesport,darin66@gross-chapman.org,2022-04-28,,364,address,electronics,117.45,35.07,5,2025-03-28,2025-04-07,upi,3.8,stuff wish bar question.,,2025-02-22,app,587.25,10,adult,1
3617,bryan bartlett,32,male,azerbaijan,maine,sanfordbury,joel37@hotmail.com,2021-12-21,,142,misc,misc,494.93,12.86,7,2025-05-22,2025-06-16,crdit,4.1,several total research factor help husband mr.,returning,,web,3464.51,25,adult,1
8902,carlos kirk,85,other,liechtenstein,,romeromouth,shafferpreston@castillo-jackson.biz,2023-11-30,,322,yourself,misc,300.23,33.38,17,2025-07-26,2025-08-14,crdit,1.4,,returning,2025-07-16,app,5103.91,19,senior,3
7773,maxwell webb,46,female,hong kong,florida,new theresaville,timothywillis@yahoo.com,2025-10-11,banned,30,low,misc,355.83,-4.0,5,2025-03-30,2025-04-30,crdit,1.6,degree build into nor.,vip,2025-08-26,app,1779.1499999999999,31,adult,2
8499,robert boyd,19,female,greece,oregon,west jocelynberg,andersoncharles@gmail.com,2021-03-07,,429,end,electronics,263.66,-3.0,10,2025-01-05,2025-01-23,cash,1.8,design bag property board movie parent.,,2025-09-16,web,2636.6000000000004,18,teen,2
3143,kathleen gibbs,7,other,somalia,rhode island,matthewton,smithsonya@mann-lee.net,2023-10-12,banned,34,once,misc,715.43,31.19,10,2025-01-27,2025-09-30,debit,2.6,stop item them industry report.,returning,2025-03-28,web,7154.299999999999,246,child,3
7426,jacob warner,33,other,mongolia,utah,west johnside,uwatson@dominguez.com,2021-02-11,inactive,110,official,misc,672.95,18.9,2,2025-04-15,2025-09-24,credit,4.2,discuss general pattern contain medical pull.,new,2025-01-23,phone,1345.9,162,adult,3
4956,kristen ellison,26,female,seychelles,tennessee,lake austinhaven,tgutierrez@gmail.com,2023-11-14,inactive,167,certainly,electronics,405.74,-2.97,6,2025-02-25,2025-08-22,crdit,2.8,person start support american action.,returning,2025-10-08,app,2434.44,178,adult,2
4399,brandon anderson,46,male,wallis and futuna,louisiana,new stephanieburgh,whiteamanda@fisher-olson.com,2021-08-15,active,394,decision,misc,741.89,30.69,11,2025-08-22,2025-09-01,debit,2.8,strategy whom relationship outside expect democrat.,returning,,app,8160.79,10,adult,1
5344,carolyn clayton,103,male,andorra,texas,allisonhaven,barry51@russell-jones.net,2020-06-10,banned,355,quickly,misc,615.04,23.34,9,2025-06-22,2025-09-27,credit,3.9,this kitchen receive community.,returning,2025-09-17,app,5535.36,97,senior,1
5140,molly jones,50,male,palestinian territory,missouri,leefurt,wallskelly@hotmail.com,2021-12-02,active,371,item,misc,236.28,-2.7,4,2025-03-30,2025-05-27,debit,3.1,,returning,,app,945.12,58,adult,1
9025,christopher hernandez,47,female,guadeloupe,arkansas,bartonfort,warrentanya@hotmail.com,2020-03-20,active,60,collection,electronics,924.09,46.56,7,2025-06-05,2025-06-21,cash,3.9,officer do however base will this chance.,,2025-06-23,web,6468.63,16,adult,2
5697,jason perkins,1,male,italy,,west roberttown,michael49@hotmail.com,2023-03-14,active,111,city,misc,893.3,21.16,20,2025-04-30,2025-06-09,cash,3.7,until become his course evidence poor.,,2025-04-22,app,17866.0,40,child,1
415,andrea martinez,102,female,australia,kentucky,nicoleside,duncanjeremy@yahoo.com,2021-11-15,active,406,while,electronics,651.2,36.76,8,2025-02-24,2025-09-04,debit,1.2,into whose reach coach too.,,2025-03-31,web,5209.6,192,senior,2
5410,diana goodwin,99,male,niger,california,kellyborough,brownkeith@green-wilkins.com,2020-03-01,,475,boy,electronics,735.28,-2.52,10,2025-01-16,2025-06-23,crdit,3.3,dog catch here scientist community recent.,returning,,web,7352.799999999999,158,senior,1
2120,joseph benjamin,54,male,algeria,colorado,arnoldview,howetanner@gmail.com,2020-02-19,banned,157,mission,clothing,407.59,27.32,15,2025-07-17,2025-10-12,debit,2.9,than either itself give still.,,2025-04-02,phone,6113.849999999999,87,adult,1
334,jeremy duncan,51,male,antarctica (the territory south of 60 deg s),idaho,darrenberg,bharper@yahoo.com,2022-05-24,active,485,sea,electronics,538.72,-8.71,19,2025-03-19,2025-10-12,up,1.0,director race open low at word throw.,vip,2025-02-03,web,10235.68,207,adult,1
2090,eric shah dds,14,male,djibouti,,port sue,christopherrasmussen@hill.info,2024-11-18,inactive,315,network,misc,912.39,27.83,12,2025-05-01,2025-05-19,up,3.9,agree among everything answer.,vip,2025-09-30,phone,10948.68,18,teen,1
3393,jeremy rodriguez,55,male,romania,virginia,south kelly,butlercarol@yahoo.com,2025-05-07,inactive,151,result,misc,367.22,38.68,20,2025-02-15,2025-06-26,up,1.0,story test civil.,vip,2025-05-30,phone,7344.400000000001,131,adult,1
9425,carrie campbell,85,female,malta,utah,east diane,uarnold@yahoo.com,2020-05-10,active,266,black,electronics,552.64,0.01,8,2025-03-19,2025-09-15,cash,4.8,arm experience call meeting.,returning,2025-08-05,app,4421.12,180,senior,2
989,kevin wood,114,other,congo,oregon,randolphside,rday@yahoo.com,2022-06-27,banned,453,trouble,misc,81.2,5.56,6,2025-04-05,2025-05-20,crdit,4.0,allow majority increase.,new,2025-06-25,phone,487.20000000000005,45,senior,3
2882,kathleen blackwell,17,male,dominica,virginia,east adriana,christinacampbell@yahoo.com,2023-06-30,,19,ahead,misc,806.46,4.27,18,2025-02-27,2025-09-27,crdit,2.6,,,2025-05-31,app,14516.28,212,teen,1
4168,alison kelly,20,female,palestinian territory,colorado,brownfurt,erictaylor@gmail.com,2023-04-11,banned,317,misc,clothing,530.73,34.0,10,2025-08-30,2025-09-23,up,2.1,religious write health city color.,new,2025-09-06,app,5307.3,24,adult,2
2840,mr. richard benton,108,female,moldova,oklahoma,jasonstad,anthonybowen@hotmail.com,2021-09-02,banned,326,section,electronics,911.12,,9,2025-03-31,2025-06-14,crdit,3.6,clearly business hair pretty.,returning,,app,8200.08,75,senior,2
576,dr. ronald simmons ii,40,female,afghanistan,,port erica,ereed@anderson.com,2021-10-08,,96,day,misc,508.37,18.96,2,2025-01-23,2025-09-17,up,1.1,,vip,2025-05-25,phone,1016.74,237,adult,2
9437,kevin morales,110,other,albania,illinois,port michael,tknight@gmail.com,2022-08-29,,480,middle,misc,504.5,-0.96,19,2025-04-11,2025-07-22,credit,2.0,mean become dinner discover affect law.,vip,2025-09-08,app,9585.5,102,senior,3
3419,kelly newton,85,other,qatar,pennsylvania,johnchester,andrehenson@gmail.com,2022-02-19,active,48,claim,misc,542.44,13.9,5,2025-02-02,2025-09-25,debit,2.6,budget all he stock team program.,returning,2025-06-28,app,2712.2000000000003,235,senior,3
8484,seth kidd,31,other,france,,north jessica,tammy58@gilbert-jones.com,2021-03-16,active,87,trouble,misc,379.09,15.53,15,2025-02-28,2025-03-10,cash,2.3,miss rate what party spend.,,2025-01-31,app,5686.349999999999,10,adult,3
7675,kyle watts,105,male,andorra,hawaii,east elizabeth,josephwhite@gmail.com,2022-04-26,banned,73,minute,electronics,766.85,,3,2025-06-25,2025-10-12,cash,4.7,why address see work.,new,,app,2300.55,109,senior,1
579,jeremy mayo,30,other,bosnia and herzegovina,alaska,dennisland,devonhoover@johnson.com,2023-12-10,banned,305,expert,electronics,906.97,,14,2025-05-25,2025-06-10,crdit,4.9,,vip,2025-01-22,app,12697.58,16,adult,3
5178,robert price,113,other,isle of man,colorado,robertsberg,englishdiane@guzman-schneider.com,2021-04-30,inactive,412,state,electronics,503.76,,15,2025-03-23,2025-06-29,upi,4.1,,vip,,app,7556.4,98,senior,3
2268,derek martinez,116,male,antarctica (the territory south of 60 deg s),missouri,south douglasbury,timothypeters@yahoo.com,2020-07-26,banned,198,misc,clothing,333.35,34.02,8,2025-01-10,2025-05-22,cash,2.1,concern lose group different.,vip,2025-03-16,web,2666.8,132,senior,1
3253,erin goodwin,58,male,antigua and barbuda,new mexico,kimstad,brose@chavez.com,2023-12-15,,214,whatever,electronics,628.76,9.41,5,2025-03-28,2025-09-05,crdit,1.8,son night international next project.,returning,2025-05-14,app,3143.8,161,adult,1
8324,michael lee,110,female,afghanistan,california,robinberg,mariamoyer@yahoo.com,2020-01-08,inactive,183,most,misc,899.28,43.45,3,2025-04-27,2025-08-24,up,2.0,direction former win who choose party summer shoulder.,,2025-09-28,web,2697.84,119,senior,2
3364,timothy miller,9,male,germany,arkansas,morganhaven,bthomas@evans.com,2023-05-13,banned,227,job,electronics,454.88,5.13,12,2025-04-06,2025-09-18,upi,2.0,,new,2025-05-04,app,5458.5599999999995,165,child,1
